data_point;region;vac_interval_group;vaccine;ppv_18_59;ppv_60;ppv_total
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikV;0.038064815590812096;0.022418883193200703;0.03313775155298706
2021.11_01-07-2022;Амурская область;105_165_days;AllVaccines;0.14258777735576825;0.09861684816622857;0.13097011778596127
2021.11_01-07-2022;Амурская область;105_165_days;CoviVac;0.0017979103786623996;0.0013143071723619977;0.0016701364716465395
2021.11_01-07-2022;Амурская область;105_165_days;EpiVacCorona;0.0018361159742089756;0.002184253348353987;0.001928098144494916
2021.11_01-07-2022;Амурская область;105_165_days;SputnikLite;0.005960072905265855;8.136187257479033e-05;0.004406845244493097
2021.11_01-07-2022;Амурская область;105_165_days;SputnikV;0.13299367809763102;0.09503692577293779;0.1229650379253267
2021.11_01-07-2022;Амурская область;165_195_days;AllVaccines;0.03392432145738615;0.05439354111903868;0.039332540707509495
2021.11_01-07-2022;Амурская область;165_195_days;EpiVacCorona;0.0005798260971186239;0.0008261359369132557;0.000644904182120941
2021.11_01-07-2022;Амурская область;165_195_days;SputnikV;0.033344495360267526;0.053567405182125424;0.038687636525388557
2021.11_01-07-2022;Амурская область;21_45_days;AllVaccines;0.0368661523144725;0.04367880836149706;0.03866613971931786
2021.11_01-07-2022;Амурская область;21_45_days;CoviVac;0.0004966727421054879;0.0004693954187007135;0.0004894657382251245
2021.11_01-07-2022;Амурская область;21_45_days;EpiVacCorona;0.00017304887394625597;0.00026286143447239955;0.00019677845557023585
2021.11_01-07-2022;Амурская область;21_45_days;SputnikLite;0.023307660671384685;0.033032920265364876;0.025877193707719504
2021.11_01-07-2022;Амурская область;21_45_days;SputnikV;0.012888770027036077;0.009913631242959069;0.012102701817802994
2021.11_01-07-2022;Амурская область;45_75_days;AllVaccines;0.06127728048076123;0.05404931781199149;0.059367563965400064
2021.11_01-07-2022;Амурская область;45_75_days;CoviVac;0.0006315160205051679;0.0005632745024408562;0.0006134857732483824
2021.11_01-07-2022;Амурская область;45_75_days;EpiVacCorona;0.0004359932668256319;0.0005507572912755039;0.00046631533168744967
2021.11_01-07-2022;Амурская область;45_75_days;SputnikLite;0.021145673441043147;0.030717236199774692;0.023674597885706444
2021.11_01-07-2022;Амурская область;45_75_days;SputnikV;0.03906409775238729;0.022218049818500438;0.03461316497475779
2021.11_01-07-2022;Амурская область;75_90_days;AllVaccines;0.060283934996550256;0.023889097509074978;0.05066797190863527
2021.11_01-07-2022;Амурская область;75_90_days;CoviVac;2.2473879733279995e-05;0.0;1.6536004669767718e-05
2021.11_01-07-2022;Амурская область;75_90_days;EpiVacCorona;0.0015731715813295996;0.0010577043434722743;0.0014369788058028147
2021.11_01-07-2022;Амурская область;75_90_days;SputnikLite;0.020666979802724285;0.009588183752659907;0.017739825809726807
2021.11_01-07-2022;Амурская область;75_90_days;SputnikV;0.038021309732763096;0.013243209412942797;0.031474631288435875
2021.11_01-07-2022;Амурская область;90_105_days;AllVaccines;0.08415344266126694;0.02578545500062586;0.06873190340988952
2021.11_01-07-2022;Амурская область;90_105_days;CoviVac;2.9216043653263993e-05;1.2517211165352359e-05;2.4804007004651577e-05
2021.11_01-07-2022;Амурская область;90_105_days;EpiVacCorona;0.0004786936383188639;0.000244085617724371;0.00041670731767814653
2021.11_01-07-2022;Амурская область;90_105_days;SputnikLite;0.024449333761835307;0.00244085617724371;0.018634423662361243
2021.11_01-07-2022;Амурская область;90_105_days;SputnikV;0.05919619921745951;0.023087995994492426;0.04965596842284548
2021.11_01-07-2022;Архангельская область;105_165_days;AllVaccines;0.09398443837236056;0.10025746789212814;0.0959138914665941
2021.11_01-07-2022;Архангельская область;105_165_days;CoviVac;0.0016424856282507528;0.00040075765881912595;0.0012605559935716295
2021.11_01-07-2022;Архангельская область;105_165_days;EpiVacCorona;0.001850735339808108;0.0008317611786812048;0.001537320132381637
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikLite;0.0029171753949606928;0.00047637231142650825;0.0021664352546346363
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikV;0.087574042009341;0.09854857674320129;0.0909495800860062
2021.11_01-07-2022;Архангельская область;165_195_days;AllVaccines;0.03205366124825549;0.08577726191781443;0.04857792073382035
2021.11_01-07-2022;Архангельская область;165_195_days;EpiVacCorona;8.565109104375092e-05;9.073758312885871e-05;8.721558996113673e-05
2021.11_01-07-2022;Архангельская область;165_195_days;SputnikV;0.031968010157211735;0.08568652433468557;0.04849070514385921
2021.11_01-07-2022;Архангельская область;21_45_days;AllVaccines;0.04924098018436817;0.0501249532134337;0.04951287185820373
2021.11_01-07-2022;Архангельская область;21_45_days;CoviVac;0.0003039774015474297;0.0001436678399540263;0.00025466952268651924
2021.11_01-07-2022;Архангельская область;21_45_days;EpiVacCorona;0.0001948142462955903;0.00019659809677919387;0.00019536292151294628
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikLite;0.03773686305398202;0.038416024257180555;0.03794575888029137
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikV;0.011005325482543132;0.011368663019519923;0.011117080533712895
2021.11_01-07-2022;Архангельская область;45_75_days;AllVaccines;0.049764963329577;0.04819677957194545;0.04928262270070633
2021.11_01-07-2022;Архангельская область;45_75_days;CoviVac;0.00015450785051029575;6.805318734664404e-05;0.0001279161986096672
2021.11_01-07-2022;Архангельская область;45_75_days;EpiVacCorona;0.0011319379483036886;0.0010926317301766736;0.0011198481751009957
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikLite;0.0177919148728921;0.022816721424277597;0.019337440606183236
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikV;0.030686602657870914;0.024219373230144538;0.02869741772081243
2021.11_01-07-2022;Архангельская область;75_90_days;AllVaccines;0.0665139502115246;0.032790294103191314;0.05614125669525012
2021.11_01-07-2022;Архангельская область;75_90_days;CoviVac;0.00015954614998345759;4.914952419479847e-05;0.0001255904495440369
2021.11_01-07-2022;Архангельская область;75_90_days;EpiVacCorona;0.0025644944318393655;0.0016597416247320406;0.0022862113315145977
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikLite;0.01496039056897516;0.0056408530845107165;0.012093895141277627
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikV;0.04882951906072663;0.025440549869753762;0.04163555977291386
2021.11_01-07-2022;Архангельская область;90_105_days;AllVaccines;0.06541728035953305;0.0332212976230534;0.055514467322062756
2021.11_01-07-2022;Архангельская область;90_105_days;CoviVac;0.0008094867820213321;0.00018525589888808652;0.0006174863769248481
2021.11_01-07-2022;Архангельская область;90_105_days;EpiVacCorona;0.0009270471030617746;0.0003062393430598981;0.000736099579271994
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikLite;0.009666817255839809;0.0017882865341645904;0.007243545464905609
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikV;0.05401392921861013;0.03094151584694082;0.046917335900960304
2021.11_01-07-2022;Астраханская область;105_165_days;AllVaccines;0.17614634606728521;0.10591174476334363;0.15612085888854144
2021.11_01-07-2022;Астраханская область;105_165_days;CoviVac;0.001379390454618054;0.0009738383337353071;0.001263758292602862
2021.11_01-07-2022;Астраханская область;105_165_days;EpiVacCorona;0.007325289308997981;0.004468734783776036;0.006510820443820495
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikLite;0.0002468382918790202;3.640517135459092e-05;0.00018683900835196317
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikV;0.16719482801179017;0.1004327664744777;0.14815944114376614
2021.11_01-07-2022;Астраханская область;165_195_days;AllVaccines;0.0457249785831482;0.05525394882343037;0.04844190539458712
2021.11_01-07-2022;Астраханская область;165_195_days;EpiVacCorona;0.0002341333797970118;0.00039135559206185237;0.00027896101941438946
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikLite;1.8149874402869133e-06;0.0;1.2974931135552997e-06
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikV;0.04548903021591091;0.054862593231368516;0.04816164688205917
2021.11_01-07-2022;Астраханская область;21_45_days;AllVaccines;0.03341936373800293;0.03170890424984869;0.03293167271514706
2021.11_01-07-2022;Астраханская область;21_45_days;CoviVac;0.0002849530281250454;0.0003458491278686137;0.00030231589545838485
2021.11_01-07-2022;Астраханская область;21_45_days;EpiVacCorona;0.00045193187263144137;0.0005915840345121024;0.0004917498900374586
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikLite;0.01945666535987571;0.021874957337689818;0.02014617557417314
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikV;0.013225813477370736;0.008896513749778156;0.011991431355478081
2021.11_01-07-2022;Астраханская область;45_75_days;AllVaccines;0.048721522847061896;0.039372192819990076;0.04605581555875892
2021.11_01-07-2022;Астраханская область;45_75_days;CoviVac;0.0003521075634156612;0.00029124137083672735;0.00033475322329726737
2021.11_01-07-2022;Астраханская область;45_75_days;EpiVacCorona;0.0010399878032844013;0.0012696303509913583;0.0011054641327491155
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikLite;0.013236703402012459;0.014562068541836368;0.013614595240535762
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikV;0.03409272407834938;0.023249252556325626;0.03100100296217678
2021.11_01-07-2022;Астраханская область;75_90_days;AllVaccines;0.04813528190384923;0.018871530700936067;0.03979151880651394
2021.11_01-07-2022;Астраханская область;75_90_days;CoviVac;0.0001361240580215185;5.005711061256252e-05;0.00011158440776575578
2021.11_01-07-2022;Астраханская область;75_90_days;EpiVacCorona;0.0004936765837580404;0.0005233243382222445;0.0005021298349459011
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikLite;0.007622947249205036;0.002994325343915103;0.006303221545651647
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikV;0.03988253401286463;0.015303823908186158;0.03287458301815063
2021.11_01-07-2022;Астраханская область;90_105_days;AllVaccines;0.06644306021402333;0.025588284815858092;0.054794431678553863
2021.11_01-07-2022;Астраханская область;90_105_days;CoviVac;0.00032669773925164436;0.00022753232096619326;0.000298423416117719
2021.11_01-07-2022;Астраханская область;90_105_days;EpiVacCorona;0.000608020792496116;0.00030944395651402284;0.0005228897247627858
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikLite;0.004532023638396422;0.001146762897669614;0.003566808569163519
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikV;0.06097631804387914;0.023904545640708263;0.050406309968509845
2021.11_01-07-2022;Белгородская область;105_165_days;AllVaccines;0.2771941995848944;0.1697236832164972;0.24423259151071985
2021.11_01-07-2022;Белгородская область;105_165_days;CoviVac;0.00027658341121845366;0.000132857131692678;0.00023250202540424193
2021.11_01-07-2022;Белгородская область;105_165_days;EpiVacCorona;0.019134962332796684;0.01156899062445457;0.016814450600110897
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikLite;0.0010164440362278172;0.00032823526653485155;0.0008053678405755185
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikV;0.2567662098046514;0.15769360019381512;0.2263802710446292
2021.11_01-07-2022;Белгородская область;165_195_days;AllVaccines;0.06907901181356896;0.06844486819791024;0.06888451760224097
2021.11_01-07-2022;Белгородская область;165_195_days;CoviVac;0.0004840209696322939;0.0004741176072170078;0.0004809835714548235
2021.11_01-07-2022;Белгородская область;165_195_days;EpiVacCorona;0.0005093744489939855;0.000893529336678207;0.0006271961853688313
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikLite;3.4572926402306707e-06;0.0;2.3969280969509475e-06
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikV;0.06808215910230245;0.06707722125401502;0.06777394091732036
2021.11_01-07-2022;Белгородская область;21_45_days;AllVaccines;0.04568120765536785;0.06881478413321142;0.05277636181469828
2021.11_01-07-2022;Белгородская область;21_45_days;CoviVac;0.00039182649922614264;0.0003308403083327472;0.00037312180709203087
2021.11_01-07-2022;Белгородская область;21_45_days;EpiVacCorona;0.00025122993185676206;0.0002631092215874604;0.00025487335430911744
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikLite;0.03289729190267491;0.05483612984570337;0.03962601529879307
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikV;0.012140859321610038;0.013384704757587835;0.012522351354504068
2021.11_01-07-2022;Белгородская область;45_75_days;AllVaccines;0.04670226141511598;0.05472932313198965;0.04916419117259321
2021.11_01-07-2022;Белгородская область;45_75_days;CoviVac;0.0008355123880557454;0.0005418486939622946;0.0007454446381517447
2021.11_01-07-2022;Белгородская область;45_75_days;EpiVacCorona;0.0004114178241874498;0.0005991596135159989;0.00046899893097006876
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikLite;0.013897163982847219;0.024015880334799972;0.017000612015640754
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikV;0.03155816722002556;0.029572434489711388;0.030949135587830637
2021.11_01-07-2022;Белгородская область;75_90_days;AllVaccines;0.05011345682014357;0.029473442901391353;0.043783087594938326
2021.11_01-07-2022;Белгородская область;75_90_days;CoviVac;0.0009645846466243571;0.0003256302247369559;0.0007686149430889372
2021.11_01-07-2022;Белгородская область;75_90_days;EpiVacCorona;0.0014370813074558821;0.0014145376962573365;0.0014301670978473988
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikLite;0.008531445805209217;0.005481007942772442;0.007595865139237553
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikV;0.03918034506085411;0.022252267037624618;0.03398844041476444
2021.11_01-07-2022;Белгородская область;90_105_days;AllVaccines;0.07439171817072342;0.03184403093747639;0.06134218385716865
2021.11_01-07-2022;Белгородская область;90_105_days;CoviVac;0.0011397541403960444;0.000567899111941251;0.000964364071006598
2021.11_01-07-2022;Белгородская область;90_105_days;EpiVacCorona;0.0018312126684421786;0.0013702519856931105;0.0016898343083504182
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikLite;0.006673727226525271;0.002000672100783857;0.005240483795967089
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikV;0.06474702413535992;0.027905207739058174;0.05344750168184455
2021.11_01-07-2022;Брянская область;105_165_days;AllVaccines;0.13408982376350198;0.10789451653411469;0.12592642838507695
2021.11_01-07-2022;Брянская область;105_165_days;CoviVac;0.0012689027856736782;0.0009342821264127249;0.0011646230106965823
2021.11_01-07-2022;Брянская область;105_165_days;EpiVacCorona;0.0011840060640515445;0.0023909585600669736;0.00156013566397078
2021.11_01-07-2022;Брянская область;105_165_days;SputnikLite;9.096077316657192e-06;6.697362913352867e-06;8.348552048004175e-06
2021.11_01-07-2022;Брянская область;105_165_days;SputnikV;0.1316278188364601;0.10456257848472164;0.1231933211583616
2021.11_01-07-2022;Брянская область;165_195_days;AllVaccines;0.02028122039037332;0.04547509418166597;0.028132533263762066
2021.11_01-07-2022;Брянская область;165_195_days;EpiVacCorona;0.00010005685048322911;0.0002277103390539975;0.00013983824680406992
2021.11_01-07-2022;Брянская область;165_195_days;SputnikV;0.02018116353989009;0.04524738384261197;0.027992695016957996
2021.11_01-07-2022;Брянская область;21_45_days;AllVaccines;0.04570627250331628;0.049101716199246546;0.04676441429689538
2021.11_01-07-2022;Брянская область;21_45_days;CoviVac;0.00025772219063862045;0.00014399330263708664;0.00022228019827811115
2021.11_01-07-2022;Брянская область;21_45_days;EpiVacCorona;0.00014856926283873413;0.0001573880284637924;0.00015131750587007566
2021.11_01-07-2022;Брянская область;21_45_days;SputnikLite;0.026536289558461247;0.037468396818752615;0.02994312548917297
2021.11_01-07-2022;Брянская область;21_45_days;SputnikV;0.018763691491377677;0.011331938049393052;0.016447691103574223
2021.11_01-07-2022;Брянская область;45_75_days;AllVaccines;0.049670646200492705;0.03478945165341147;0.04503313331594052
2021.11_01-07-2022;Брянская область;45_75_days;CoviVac;0.0005988250900132652;0.000354960234407702;0.0005228280720062614
2021.11_01-07-2022;Брянская область;45_75_days;EpiVacCorona;0.00031987871896911125;0.00025449979070740894;0.0002995043047221498
2021.11_01-07-2022;Брянская область;45_75_days;SputnikLite;0.020883077506158802;0.01837421515278359;0.02010122619358205
2021.11_01-07-2022;Брянская область;45_75_days;SputnikV;0.027868864885351525;0.015805776475512765;0.024109574745630056
2021.11_01-07-2022;Брянская область;75_90_days;AllVaccines;0.03867045669888194;0.019804102134784427;0.03279102530654839
2021.11_01-07-2022;Брянская область;75_90_days;CoviVac;0.00018192154633314383;8.371703641691084e-05;0.00015131750587007566
2021.11_01-07-2022;Брянская область;75_90_days;EpiVacCorona;0.0009459920409323479;0.0007065717873587275;0.0008713801200104357
2021.11_01-07-2022;Брянская область;75_90_days;SputnikLite;0.0063111616448739815;0.0029836751778987026;0.005274197756326637
2021.11_01-07-2022;Брянская область;75_90_days;SputnikV;0.031231381466742467;0.016030138133110088;0.026494129924341248
2021.11_01-07-2022;Брянская область;90_105_days;AllVaccines;0.05526170172446466;0.027753871912934283;0.04668927732846335
2021.11_01-07-2022;Брянская область;90_105_days;CoviVac;0.00024862611332196325;0.00015403934700711596;0.00021914949126010958
2021.11_01-07-2022;Брянская область;90_105_days;EpiVacCorona;0.00035626302823574003;0.0002678945165341147;0.00032872423689016435
2021.11_01-07-2022;Брянская область;90_105_days;SputnikLite;0.004058366496115217;0.0013763080786940143;0.0032225410905296114
2021.11_01-07-2022;Брянская область;90_105_days;SputnikV;0.05059844608679174;0.025955629970699036;0.04291886250978346
2021.11_01-07-2022;Владимирская область;105_165_days;AllVaccines;0.07685147855826702;0.06796776495609569;0.07397180363303212
2021.11_01-07-2022;Владимирская область;105_165_days;CoviVac;0.0021145453118785224;0.0013736844925970534;0.0018743936793616455
2021.11_01-07-2022;Владимирская область;105_165_days;EpiVacCorona;0.001117475641466193;0.001889873942587322;0.001367850216743913
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikLite;0.0007224358263231805;0.00013257324671881213;0.0005312305988824956
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikV;0.07289702177859912;0.0645716332741925;0.07019832913804407
2021.11_01-07-2022;Владимирская область;165_195_days;AllVaccines;0.015160329344152734;0.041563123200036106;0.023718851920156315
2021.11_01-07-2022;Владимирская область;165_195_days;CoviVac;0.0;2.820707376996003e-06;9.143383801764125e-07
2021.11_01-07-2022;Владимирская область;165_195_days;EpiVacCorona;0.00010146570594426692;0.00015513890573478018;0.00011886398942293362
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikLite;2.7057521585137847e-06;2.820707376996003e-06;2.7430151405292373e-06
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikV;0.015056157886049954;0.04140234287954733;0.023596330577212676
2021.11_01-07-2022;Владимирская область;21_45_days;AllVaccines;0.02604557027785369;0.036813051977174834;0.02953587269483865
2021.11_01-07-2022;Владимирская область;21_45_days;CoviVac;8.252544083467043e-05;4.513131803193605e-05;7.040405527358376e-05
2021.11_01-07-2022;Владимирская область;21_45_days;EpiVacCorona;0.00020022565973002005;0.0002595050786836323;0.00021944121124233898
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikLite;0.015537781770265408;0.02669799532326717;0.01915538906469584
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikV;0.010225037407023591;0.0098104202571921;0.010090638363626888
2021.11_01-07-2022;Владимирская область;45_75_days;AllVaccines;0.05417186396560448;0.04733993190812392;0.05195727845352464
2021.11_01-07-2022;Владимирская область;45_75_days;CoviVac;0.0008022555149993371;0.00034976771474750436;0.0006555806185864877
2021.11_01-07-2022;Владимирская область;45_75_days;EpiVacCorona;0.0007724922412556854;0.0005415758163832326;0.0006976401840746027
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikLite;0.021873300449425433;0.024356808200360486;0.022678334843515557
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikV;0.03072381575992402;0.022091780176632696;0.02792572280734799
2021.11_01-07-2022;Владимирская область;75_90_days;AllVaccines;0.04533487741589846;0.02517199263231233;0.03879903482440589
2021.11_01-07-2022;Владимирская область;75_90_days;CoviVac;0.00033957189589347994;0.00012693183196482014;0.00027064416053221806
2021.11_01-07-2022;Владимирская область;75_90_days;EpiVacCorona;0.0015598661193831967;0.001085972340143461;0.0014062524287113223
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikLite;0.016557850334025105;0.009099601998189107;0.014140243049428219
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikV;0.026877589066596676;0.014859486462014944;0.022981895185734128
2021.11_01-07-2022;Владимирская область;90_105_days;AllVaccines;0.05044469036725174;0.02050090121600695;0.04073834652876006
2021.11_01-07-2022;Владимирская область;90_105_days;CoviVac;0.0007549048522253459;0.0002764293229456083;0.0005998059773957265
2021.11_01-07-2022;Владимирская область;90_105_days;EpiVacCorona;0.00037068804571638845;0.0001861666868817362;0.0003108750492599802
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikLite;0.014805875811387429;0.004208495406478037;0.011370712095873866
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikV;0.034513221657922574;0.01582980979970157;0.028456953406230483
2021.11_01-07-2022;Волгоградская область;105_165_days;AllVaccines;0.14822273797283111;0.1069883906214432;0.13556085132388382
2021.11_01-07-2022;Волгоградская область;105_165_days;CoviVac;0.004870889016505541;0.0018015674287015057;0.0039283882973172824
2021.11_01-07-2022;Волгоградская область;105_165_days;EpiVacCorona;0.004665533488442807;0.005090891353126728;0.0047961487015797935
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikLite;0.0004330479732129926;0.0001837338623134207;0.0003564907529593975
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikV;0.13825326749466976;0.09991219797730155;0.12647982357202736
2021.11_01-07-2022;Волгоградская область;165_195_days;AllVaccines;0.04002991705798303;0.0699017918116484;0.049202713923160765
2021.11_01-07-2022;Волгоградская область;165_195_days;EpiVacCorona;0.0011939442456138582;0.0019007511950830866;0.001410984408772069
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikLite;7.205457125008196e-07;1.625963383304608e-06;9.985735377013936e-07
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikV;0.03883525226665668;0.06799941465318202;0.047790730940851
2021.11_01-07-2022;Волгоградская область;21_45_days;AllVaccines;0.031229171725498023;0.041492959578550294;0.03438088690305898
2021.11_01-07-2022;Волгоградская область;21_45_days;CoviVac;0.00034370030486289096;0.0002438945074956912;0.0003130528040693869
2021.11_01-07-2022;Волгоградская область;21_45_days;EpiVacCorona;0.00029254155927533275;0.00023413872719586356;0.00027460772286788324
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikLite;0.01897196861014658;0.02940717375044714;0.022176321125272548
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikV;0.01162096125121322;0.011607752593411597;0.011616905250849161
2021.11_01-07-2022;Волгоградская область;45_75_days;AllVaccines;0.06515174332432411;0.043374199213033725;0.05846448348534119
2021.11_01-07-2022;Волгоградская область;45_75_days;CoviVac;0.0009273423319885549;0.0003642157978602322;0.0007544223077334028
2021.11_01-07-2022;Волгоградская область;45_75_days;EpiVacCorona;0.0013265246567140088;0.001091021430197392;0.0012542083633529503
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikLite;0.018025892089633004;0.019596110695587136;0.018508061234526477
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikV;0.04487198424598854;0.022322851289388962;0.03794779157972836
2021.11_01-07-2022;Волгоградская область;75_90_days;AllVaccines;0.06274872337313388;0.02566420604207993;0.05136113062490233
2021.11_01-07-2022;Волгоградская область;75_90_days;CoviVac;0.000719104621075818;0.00014796266788071933;0.0005437232912784088
2021.11_01-07-2022;Волгоградская область;75_90_days;EpiVacCorona;0.002093185294814881;0.0011771974895125362;0.0018119116841591786
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikLite;0.019966321693397713;0.008615979968131118;0.01648095695299265
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikV;0.03997011176384547;0.01572306591655556;0.03252453869647209
2021.11_01-07-2022;Волгоградская область;90_105_days;AllVaccines;0.06527711827829925;0.026140613313388184;0.053259418920072674
2021.11_01-07-2022;Волгоградская область;90_105_days;CoviVac;0.0012400591712139106;0.0003073070794445709;0.0009536377285048308
2021.11_01-07-2022;Волгоградская область;90_105_days;EpiVacCorona;0.0007500880867133532;0.00033820038372735846;0.0006236091742945202
2021.11_01-07-2022;Волгоградская область;90_105_days;SputnikLite;0.011680766545350788;0.003463302006438815;0.00915741862749063
