data_point;region;vac_interval_group;vaccine;vac_count_18_59;vac_count_60;vac_count_total;nas_age_18_59;nas_age_60;nas_age_adult_total
2021.11_01-07-2022;Амурская область;21_45_days;SputnikLite;10371;5278;15649;444961;159780;604741
2021.11_01-07-2022;Амурская область;21_45_days;SputnikV;5735;1584;7319;444961;159780;604741
2021.11_01-07-2022;Амурская область;45_75_days;AllVaccines;27266;8636;35902;444961;159780;604741
2021.11_01-07-2022;Амурская область;45_75_days;CoviVac;281;90;371;444961;159780;604741
2021.11_01-07-2022;Амурская область;45_75_days;EpiVacCorona;194;88;282;444961;159780;604741
2021.11_01-07-2022;Амурская область;45_75_days;SputnikLite;9409;4908;14317;444961;159780;604741
2021.11_01-07-2022;Амурская область;45_75_days;SputnikV;17382;3550;20932;444961;159780;604741
2021.11_01-07-2022;Амурская область;75_90_days;AllVaccines;26824;3817;30641;444961;159780;604741
2021.11_01-07-2022;Амурская область;75_90_days;CoviVac;10;0;10;444961;159780;604741
2021.11_01-07-2022;Амурская область;75_90_days;EpiVacCorona;700;169;869;444961;159780;604741
2021.11_01-07-2022;Амурская область;75_90_days;SputnikLite;9196;1532;10728;444961;159780;604741
2021.11_01-07-2022;Амурская область;75_90_days;SputnikV;16918;2116;19034;444961;159780;604741
2021.11_01-07-2022;Амурская область;90_105_days;AllVaccines;37445;4120;41565;444961;159780;604741
2021.11_01-07-2022;Амурская область;90_105_days;CoviVac;13;2;15;444961;159780;604741
2021.11_01-07-2022;Амурская область;90_105_days;EpiVacCorona;213;39;252;444961;159780;604741
2021.11_01-07-2022;Амурская область;90_105_days;SputnikLite;10879;390;11269;444961;159780;604741
2021.11_01-07-2022;Амурская область;90_105_days;SputnikV;26340;3689;30029;444961;159780;604741
2021.11_01-07-2022;Архангельская область;105_165_days;AllVaccines;55962;26518;82480;595439;264499;859938
2021.11_01-07-2022;Архангельская область;105_165_days;CoviVac;978;106;1084;595439;264499;859938
2021.11_01-07-2022;Архангельская область;105_165_days;EpiVacCorona;1102;220;1322;595439;264499;859938
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikLite;1737;126;1863;595439;264499;859938
2021.11_01-07-2022;Архангельская область;105_165_days;SputnikV;52145;26066;78211;595439;264499;859938
2021.11_01-07-2022;Архангельская область;165_195_days;AllVaccines;19086;22688;41774;595439;264499;859938
2021.11_01-07-2022;Архангельская область;165_195_days;EpiVacCorona;51;24;75;595439;264499;859938
2021.11_01-07-2022;Архангельская область;165_195_days;SputnikV;19035;22664;41699;595439;264499;859938
2021.11_01-07-2022;Архангельская область;21_45_days;AllVaccines;29320;13258;42578;595439;264499;859938
2021.11_01-07-2022;Архангельская область;21_45_days;CoviVac;181;38;219;595439;264499;859938
2021.11_01-07-2022;Архангельская область;21_45_days;EpiVacCorona;116;52;168;595439;264499;859938
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikLite;22470;10161;32631;595439;264499;859938
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikV;6553;3007;9560;595439;264499;859938
2021.11_01-07-2022;Архангельская область;45_75_days;AllVaccines;29632;12748;42380;595439;264499;859938
2021.11_01-07-2022;Архангельская область;45_75_days;CoviVac;92;18;110;595439;264499;859938
2021.11_01-07-2022;Архангельская область;45_75_days;EpiVacCorona;674;289;963;595439;264499;859938
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikLite;10594;6035;16629;595439;264499;859938
2021.11_01-07-2022;Архангельская область;45_75_days;SputnikV;18272;6406;24678;595439;264499;859938
2021.11_01-07-2022;Архангельская область;75_90_days;AllVaccines;39605;8673;48278;595439;264499;859938
2021.11_01-07-2022;Архангельская область;75_90_days;CoviVac;95;13;108;595439;264499;859938
2021.11_01-07-2022;Архангельская область;75_90_days;EpiVacCorona;1527;439;1966;595439;264499;859938
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikLite;8908;1492;10400;595439;264499;859938
2021.11_01-07-2022;Архангельская область;75_90_days;SputnikV;29075;6729;35804;595439;264499;859938
2021.11_01-07-2022;Архангельская область;90_105_days;AllVaccines;38952;8787;47739;595439;264499;859938
2021.11_01-07-2022;Архангельская область;90_105_days;CoviVac;482;49;531;595439;264499;859938
2021.11_01-07-2022;Архангельская область;90_105_days;EpiVacCorona;552;81;633;595439;264499;859938
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikLite;5756;473;6229;595439;264499;859938
2021.11_01-07-2022;Архангельская область;90_105_days;SputnikV;32162;8184;40346;595439;264499;859938
2021.11_01-07-2022;Астраханская область;105_165_days;AllVaccines;97051;23274;120325;550968;219749;770717
2021.11_01-07-2022;Астраханская область;105_165_days;CoviVac;760;214;974;550968;219749;770717
2021.11_01-07-2022;Астраханская область;105_165_days;EpiVacCorona;4036;982;5018;550968;219749;770717
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikLite;136;8;144;550968;219749;770717
2021.11_01-07-2022;Астраханская область;105_165_days;SputnikV;92119;22070;114189;550968;219749;770717
2021.11_01-07-2022;Астраханская область;165_195_days;AllVaccines;25193;12142;37335;550968;219749;770717
2021.11_01-07-2022;Астраханская область;165_195_days;EpiVacCorona;129;86;215;550968;219749;770717
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikLite;1;0;1;550968;219749;770717
2021.11_01-07-2022;Астраханская область;165_195_days;SputnikV;25063;12056;37119;550968;219749;770717
2021.11_01-07-2022;Астраханская область;21_45_days;AllVaccines;18413;6968;25381;550968;219749;770717
2021.11_01-07-2022;Астраханская область;21_45_days;CoviVac;157;76;233;550968;219749;770717
2021.11_01-07-2022;Астраханская область;21_45_days;EpiVacCorona;249;130;379;550968;219749;770717
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikLite;10720;4807;15527;550968;219749;770717
2021.11_01-07-2022;Астраханская область;21_45_days;SputnikV;7287;1955;9242;550968;219749;770717
2021.11_01-07-2022;Астраханская область;45_75_days;AllVaccines;26844;8652;35496;550968;219749;770717
2021.11_01-07-2022;Астраханская область;45_75_days;CoviVac;194;64;258;550968;219749;770717
2021.11_01-07-2022;Астраханская область;45_75_days;EpiVacCorona;573;279;852;550968;219749;770717
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikLite;7293;3200;10493;550968;219749;770717
2021.11_01-07-2022;Астраханская область;45_75_days;SputnikV;18784;5109;23893;550968;219749;770717
2021.11_01-07-2022;Астраханская область;75_90_days;AllVaccines;26521;4147;30668;550968;219749;770717
2021.11_01-07-2022;Астраханская область;75_90_days;CoviVac;75;11;86;550968;219749;770717
2021.11_01-07-2022;Астраханская область;75_90_days;EpiVacCorona;272;115;387;550968;219749;770717
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikLite;4200;658;4858;550968;219749;770717
2021.11_01-07-2022;Астраханская область;75_90_days;SputnikV;21974;3363;25337;550968;219749;770717
2021.11_01-07-2022;Астраханская область;90_105_days;AllVaccines;36608;5623;42231;550968;219749;770717
2021.11_01-07-2022;Астраханская область;90_105_days;CoviVac;180;50;230;550968;219749;770717
2021.11_01-07-2022;Астраханская область;90_105_days;EpiVacCorona;335;68;403;550968;219749;770717
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikLite;2497;252;2749;550968;219749;770717
2021.11_01-07-2022;Астраханская область;90_105_days;SputnikV;33596;5253;38849;550968;219749;770717
2021.11_01-07-2022;Белгородская область;105_165_days;AllVaccines;240530;65152;305682;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;105_165_days;CoviVac;240;51;291;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;105_165_days;EpiVacCorona;16604;4441;21045;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikLite;882;126;1008;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;105_165_days;SputnikV;222804;60534;283338;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;165_195_days;AllVaccines;59942;26274;86216;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;165_195_days;CoviVac;420;182;602;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;165_195_days;EpiVacCorona;442;343;785;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikLite;3;0;3;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;165_195_days;SputnikV;59077;25749;84826;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;21_45_days;AllVaccines;39639;26416;66055;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;21_45_days;CoviVac;340;127;467;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;21_45_days;EpiVacCorona;218;101;319;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikLite;28546;21050;49596;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;21_45_days;SputnikV;10535;5138;15673;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;45_75_days;AllVaccines;40525;21009;61534;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;45_75_days;CoviVac;725;208;933;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;45_75_days;EpiVacCorona;357;230;587;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikLite;12059;9219;21278;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;45_75_days;SputnikV;27384;11352;38736;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;75_90_days;AllVaccines;43485;11314;54799;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;75_90_days;CoviVac;837;125;962;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;75_90_days;EpiVacCorona;1247;543;1790;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikLite;7403;2104;9507;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;75_90_days;SputnikV;33998;8542;42540;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;90_105_days;AllVaccines;64552;12224;76776;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;90_105_days;CoviVac;989;218;1207;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;90_105_days;EpiVacCorona;1589;526;2115;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikLite;5791;768;6559;867731;383871;1251602
2021.11_01-07-2022;Белгородская область;90_105_days;SputnikV;56183;10712;66895;867731;383871;1251602
2021.11_01-07-2022;Брянская область;105_165_days;AllVaccines;88449;32220;120669;659625;298625;958250
2021.11_01-07-2022;Брянская область;105_165_days;CoviVac;837;279;1116;659625;298625;958250
2021.11_01-07-2022;Брянская область;105_165_days;EpiVacCorona;781;714;1495;659625;298625;958250
2021.11_01-07-2022;Брянская область;105_165_days;SputnikLite;6;2;8;659625;298625;958250
2021.11_01-07-2022;Брянская область;105_165_days;SputnikV;86825;31225;118050;659625;298625;958250
2021.11_01-07-2022;Брянская область;165_195_days;AllVaccines;13378;13580;26958;659625;298625;958250
2021.11_01-07-2022;Брянская область;165_195_days;EpiVacCorona;66;68;134;659625;298625;958250
2021.11_01-07-2022;Брянская область;165_195_days;SputnikV;13312;13512;26824;659625;298625;958250
2021.11_01-07-2022;Брянская область;21_45_days;AllVaccines;30149;14663;44812;659625;298625;958250
2021.11_01-07-2022;Брянская область;21_45_days;CoviVac;170;43;213;659625;298625;958250
2021.11_01-07-2022;Брянская область;21_45_days;EpiVacCorona;98;47;145;659625;298625;958250
2021.11_01-07-2022;Брянская область;21_45_days;SputnikLite;17504;11189;28693;659625;298625;958250
2021.11_01-07-2022;Брянская область;21_45_days;SputnikV;12377;3384;15761;659625;298625;958250
2021.11_01-07-2022;Брянская область;45_75_days;AllVaccines;32764;10389;43153;659625;298625;958250
2021.11_01-07-2022;Брянская область;45_75_days;CoviVac;395;106;501;659625;298625;958250
2021.11_01-07-2022;Брянская область;45_75_days;EpiVacCorona;211;76;287;659625;298625;958250
2021.11_01-07-2022;Брянская область;45_75_days;SputnikLite;13775;5487;19262;659625;298625;958250
2021.11_01-07-2022;Брянская область;45_75_days;SputnikV;18383;4720;23103;659625;298625;958250
2021.11_01-07-2022;Брянская область;75_90_days;AllVaccines;25508;5914;31422;659625;298625;958250
2021.11_01-07-2022;Брянская область;75_90_days;CoviVac;120;25;145;659625;298625;958250
2021.11_01-07-2022;Брянская область;75_90_days;EpiVacCorona;624;211;835;659625;298625;958250
2021.11_01-07-2022;Брянская область;75_90_days;SputnikLite;4163;891;5054;659625;298625;958250
2021.11_01-07-2022;Брянская область;75_90_days;SputnikV;20601;4787;25388;659625;298625;958250
2021.11_01-07-2022;Брянская область;90_105_days;AllVaccines;36452;8288;44740;659625;298625;958250
2021.11_01-07-2022;Брянская область;90_105_days;CoviVac;164;46;210;659625;298625;958250
2021.11_01-07-2022;Брянская область;90_105_days;EpiVacCorona;235;80;315;659625;298625;958250
2021.11_01-07-2022;Брянская область;90_105_days;SputnikLite;2677;411;3088;659625;298625;958250
2021.11_01-07-2022;Брянская область;90_105_days;SputnikV;33376;7751;41127;659625;298625;958250
2021.11_01-07-2022;Владимирская область;105_165_days;AllVaccines;56806;24096;80902;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;105_165_days;CoviVac;1563;487;2050;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;105_165_days;EpiVacCorona;826;670;1496;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikLite;534;47;581;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;105_165_days;SputnikV;53883;22892;76775;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;165_195_days;AllVaccines;11206;14735;25941;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;165_195_days;CoviVac;0;1;1;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;165_195_days;EpiVacCorona;75;55;130;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikLite;2;1;3;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;165_195_days;SputnikV;11129;14678;25807;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;21_45_days;AllVaccines;19252;13051;32303;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;21_45_days;CoviVac;61;16;77;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;21_45_days;EpiVacCorona;148;92;240;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikLite;11485;9465;20950;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;21_45_days;SputnikV;7558;3478;11036;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;45_75_days;AllVaccines;40042;16783;56825;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;45_75_days;CoviVac;593;124;717;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;45_75_days;EpiVacCorona;571;192;763;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikLite;16168;8635;24803;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;45_75_days;SputnikV;22710;7832;30542;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;75_90_days;AllVaccines;33510;8924;42434;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;75_90_days;CoviVac;251;45;296;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;75_90_days;EpiVacCorona;1153;385;1538;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikLite;12239;3226;15465;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;75_90_days;SputnikV;19867;5268;25135;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;90_105_days;AllVaccines;37287;7268;44555;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;90_105_days;CoviVac;558;98;656;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;90_105_days;EpiVacCorona;274;66;340;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikLite;10944;1492;12436;739166;354521;1093687
2021.11_01-07-2022;Владимирская область;90_105_days;SputnikV;25511;5612;31123;739166;354521;1093687
2021.11_01-07-2022;Волгоградская область;105_165_days;AllVaccines;205709;65800;271509;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;105_165_days;CoviVac;6760;1108;7868;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;105_165_days;EpiVacCorona;6475;3131;9606;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikLite;601;113;714;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;105_165_days;SputnikV;191873;61448;253321;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;165_195_days;AllVaccines;55555;42991;98546;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;165_195_days;EpiVacCorona;1657;1169;2826;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikLite;1;1;2;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;165_195_days;SputnikV;53897;41821;95718;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;21_45_days;AllVaccines;43341;25519;68860;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;21_45_days;CoviVac;477;150;627;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;21_45_days;EpiVacCorona;406;144;550;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikLite;26330;18086;44416;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;21_45_days;SputnikV;16128;7139;23267;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;45_75_days;AllVaccines;90420;26676;117096;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;45_75_days;CoviVac;1287;224;1511;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;45_75_days;EpiVacCorona;1841;671;2512;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikLite;25017;12052;37069;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;45_75_days;SputnikV;62275;13729;76004;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;75_90_days;AllVaccines;87085;15784;102869;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;75_90_days;CoviVac;998;91;1089;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;75_90_days;EpiVacCorona;2905;724;3629;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikLite;27710;5299;33009;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;75_90_days;SputnikV;55472;9670;65142;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;90_105_days;AllVaccines;90594;16077;106671;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;90_105_days;CoviVac;1721;189;1910;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;90_105_days;EpiVacCorona;1041;208;1249;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;90_105_days;SputnikLite;16211;2130;18341;1387837;615020;2002857
2021.11_01-07-2022;Волгоградская область;90_105_days;SputnikV;71621;13550;85171;1387837;615020;2002857
2021.11_01-07-2022;Вологодская область;105_165_days;AllVaccines;58459;26997;85456;628100;275171;903271
2021.11_01-07-2022;Вологодская область;105_165_days;CoviVac;639;247;886;628100;275171;903271
2021.11_01-07-2022;Вологодская область;105_165_days;EpiVacCorona;814;1124;1938;628100;275171;903271
2021.11_01-07-2022;Вологодская область;105_165_days;SputnikLite;1106;36;1142;628100;275171;903271
2021.11_01-07-2022;Вологодская область;105_165_days;SputnikV;55900;25590;81490;628100;275171;903271
2021.11_01-07-2022;Вологодская область;165_195_days;AllVaccines;16874;22097;38971;628100;275171;903271
2021.11_01-07-2022;Вологодская область;165_195_days;EpiVacCorona;2434;4124;6558;628100;275171;903271
2021.11_01-07-2022;Вологодская область;165_195_days;SputnikLite;7;2;9;628100;275171;903271
2021.11_01-07-2022;Вологодская область;165_195_days;SputnikV;14433;17971;32404;628100;275171;903271
2021.11_01-07-2022;Вологодская область;21_45_days;AllVaccines;38668;13692;52360;628100;275171;903271
2021.11_01-07-2022;Вологодская область;21_45_days;CoviVac;19;1;20;628100;275171;903271
2021.11_01-07-2022;Вологодская область;21_45_days;EpiVacCorona;45;32;77;628100;275171;903271
2021.11_01-07-2022;Вологодская область;21_45_days;SputnikLite;34983;10552;45535;628100;275171;903271
2021.11_01-07-2022;Вологодская область;21_45_days;SputnikV;3621;3107;6728;628100;275171;903271
2021.11_01-07-2022;Вологодская область;45_75_days;AllVaccines;23661;12110;35771;628100;275171;903271
2021.11_01-07-2022;Вологодская область;45_75_days;CoviVac;69;10;79;628100;275171;903271
2021.11_01-07-2022;Вологодская область;45_75_days;EpiVacCorona;188;184;372;628100;275171;903271
2021.11_01-07-2022;Вологодская область;45_75_days;SputnikLite;15229;6819;22048;628100;275171;903271
2021.11_01-07-2022;Вологодская область;45_75_days;SputnikV;8175;5097;13272;628100;275171;903271
2021.11_01-07-2022;Вологодская область;75_90_days;AllVaccines;27186;6446;33632;628100;275171;903271
2021.11_01-07-2022;Вологодская область;75_90_days;CoviVac;144;16;160;628100;275171;903271
2021.11_01-07-2022;Вологодская область;75_90_days;EpiVacCorona;469;290;759;628100;275171;903271
2021.11_01-07-2022;Вологодская область;75_90_days;SputnikLite;13281;1610;14891;628100;275171;903271
2021.11_01-07-2022;Вологодская область;75_90_days;SputnikV;13292;4530;17822;628100;275171;903271
2021.11_01-07-2022;Вологодская область;90_105_days;AllVaccines;36764;7956;44720;628100;275171;903271
2021.11_01-07-2022;Вологодская область;90_105_days;CoviVac;333;37;370;628100;275171;903271
2021.11_01-07-2022;Вологодская область;90_105_days;EpiVacCorona;59;29;88;628100;275171;903271
2021.11_01-07-2022;Вологодская область;90_105_days;SputnikLite;12449;587;13036;628100;275171;903271
2021.11_01-07-2022;Вологодская область;90_105_days;SputnikV;23923;7303;31226;628100;275171;903271
2021.11_01-07-2022;Воронежская область;105_165_days;AllVaccines;162694;51076;213770;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;105_165_days;CoviVac;2236;606;2842;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;105_165_days;EpiVacCorona;6498;3434;9932;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;105_165_days;SputnikLite;410;71;481;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;105_165_days;SputnikV;153550;46965;200515;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;165_195_days;AllVaccines;39346;28905;68251;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;165_195_days;CoviVac;480;236;716;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;165_195_days;EpiVacCorona;1953;2084;4037;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;165_195_days;SputnikLite;1;1;2;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;165_195_days;SputnikV;36912;26584;63496;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;21_45_days;AllVaccines;64395;32304;96699;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;21_45_days;CoviVac;937;325;1262;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;21_45_days;EpiVacCorona;275;172;447;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;21_45_days;SputnikLite;46895;22527;69422;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;21_45_days;SputnikV;16288;9280;25568;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;45_75_days;AllVaccines;58795;34424;93219;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;45_75_days;CoviVac;1163;382;1545;1293123;602333;1895456
2021.11_01-07-2022;Воронежская область;45_75_days;EpiVacCorona;682;510;1192;1293123;602333;1895456
